[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/31
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/32
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/33
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/34
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/35
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/36
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/37
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/38
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/39
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/3a
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/3b
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/3c
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/3d
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/3e
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/3f
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/40
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/41
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/42
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/43
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/44
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/45
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/46
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/47
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/48
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/49
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/4a
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/4b
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/4c
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/4d
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/4e
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/4f
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/50
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/51
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/52
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/53
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/54
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/55
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/56
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/57
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/58
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/59
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/5a
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/5b
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/5c
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/5d
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/5e
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/5f
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/60
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/61
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/62
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/63
[134168 - Suricata-Main] 2023-12-07 09:48:28 Info: output-filestore: Filestore (v2) creating directory data//filestore/64
